run_timestamp,run_date,wallet_label,coldkey,hotkey,hotkey_name,current_alpha,period_start_alpha,earned_alpha,notes
2026-05-30 19:52:25 UTC,2026-05-30,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30254.487544,30219.373689,35.113855,validators:1T1B.AI
2026-05-30 19:52:56 UTC,2026-05-30,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30506.993256,30475.450967,31.542289,validators:TAO.com
2026-05-30 19:53:27 UTC,2026-05-30,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1586.419119,1584.778863,1.640256,validators:TAO.com
2026-05-30 19:53:59 UTC,2026-05-30,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9792.170285,9782.795642,9.374643,validators:Rizzo (Insured)
2026-05-30 19:54:30 UTC,2026-05-30,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6482.935412,6475.887994,7.047418,validators:Tensorplex Labs
2026-05-30 19:55:21 UTC,2026-05-30,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8220.418858,8210.520814,9.898043,validators:Datura
2026-05-31 19:52:14 UTC,2026-05-31,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30204.443960,30175.870003,28.573957,validators:Ditto
2026-05-31 19:52:45 UTC,2026-05-31,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30295.555432,30260.722548,34.832883,validators:1T1B.AI
2026-05-31 19:53:16 UTC,2026-05-31,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30542.751094,30512.619404,30.131690,validators:TAO.com
2026-05-31 19:53:47 UTC,2026-05-31,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1588.278592,1586.711689,1.566903,validators:TAO.com
2026-05-31 19:54:19 UTC,2026-05-31,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9803.216813,9793.834591,9.382222,validators:Rizzo (Insured)
2026-05-31 19:54:50 UTC,2026-05-31,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6491.098493,6484.144975,6.953518,validators:Tensorplex Labs
2026-05-31 19:55:21 UTC,2026-05-31,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8231.923785,8222.104420,9.819365,validators:Datura
2026-06-01 23:07:29 UTC,2026-06-01,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30241.074760,30209.435200,31.639560,validators:Ditto
2026-06-01 23:08:00 UTC,2026-06-01,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30340.458991,30301.688360,38.770631,validators:1T1B.AI
2026-06-01 23:08:31 UTC,2026-06-01,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30582.377702,30548.139490,34.238212,validators:TAO.com
2026-06-01 23:09:02 UTC,2026-06-01,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1590.339248,1588.558798,1.780449,validators:TAO.com
2026-06-01 23:09:33 UTC,2026-06-01,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9815.741642,9804.971355,10.770286,validators:Rizzo (Insured)
2026-06-01 23:10:05 UTC,2026-06-01,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6499.928003,6492.302959,7.625044,validators:Tensorplex Labs
2026-06-01 23:10:38 UTC,2026-06-01,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8244.343058,8233.621208,10.721849,validators:Datura
2026-06-02 23:06:50 UTC,2026-06-02,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30274.250783,30242.743311,31.507472,validators:Ditto
2026-06-02 23:07:22 UTC,2026-06-02,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30380.993570,30342.491666,38.501905,validators:1T1B.AI
2026-06-02 23:07:53 UTC,2026-06-02,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30618.920255,30584.174061,34.746194,validators:TAO.com
2026-06-02 23:08:24 UTC,2026-06-02,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1592.239527,1590.432662,1.806865,validators:TAO.com
2026-06-02 23:08:55 UTC,2026-06-02,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9826.612486,9816.293684,10.318802,validators:Rizzo (Insured)
2026-06-02 23:09:26 UTC,2026-06-02,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6507.891453,6500.330824,7.560630,validators:Tensorplex Labs
2026-06-02 23:09:57 UTC,2026-06-02,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8255.499487,8244.909512,10.589975,validators:Datura
2026-06-03 23:13:05 UTC,2026-06-03,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30307.769543,30275.909167,31.860376,validators:Ditto
2026-06-03 23:13:36 UTC,2026-06-03,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30421.969647,30383.026488,38.943159,validators:1T1B.AI
2026-06-03 23:14:08 UTC,2026-06-03,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30656.404182,30620.804035,35.600148,validators:TAO.com
2026-06-03 23:14:39 UTC,2026-06-03,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1594.188759,1592.337487,1.851272,validators:TAO.com
2026-06-03 23:15:10 UTC,2026-06-03,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9837.613261,9827.156065,10.457196,validators:Rizzo (Insured)
2026-06-03 23:15:42 UTC,2026-06-03,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6515.615282,6508.288401,7.326881,validators:Tensorplex Labs
2026-06-03 23:16:13 UTC,2026-06-03,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8266.736724,8256.054696,10.682028,validators:Datura
2026-06-04 21:18:39 UTC,2026-06-04,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30339.874955,30309.465260,30.409695,validators:Ditto
2026-06-04 21:19:11 UTC,2026-06-04,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30461.259949,30424.042527,37.217422,validators:1T1B.AI
